about	अबाउट
blog	ब्लॉग
home	होम
index	इंडेक्स
login	लॉगिन
register	रजिस्टर
search	सर्च
tags	टैग्स
category	केटेगरी
categories	केटेगरीज़
post	पोस्ट
posts	पोस्ट्स
page	पेज
pages	पेजेस
user	यूज़र
users	यूज़र्स
admin	एडमिन
app	ऐप
help	हेल्प
terms	टर्म्स
privacy	प्राइवेसी
contact	कॉन्टैक्ट
main	मेन
explore	एक्सप्लोर
wiki	विकी
docs	डॉक्स
download	डाउनलोड
downloads	डाउनलोड्स
upload	अपलोड
uploads	अपलोड्स
photos	फ़ोटोज़
images	इमेजेज़
music	म्यूज़िक
video	वीडियो
videos	वीडियोज़
desktop	डेस्कटॉप
documents	डॉक्युमेंट्स
tests	टेस्ट्स
test	टेस्ट
config	कॉन्फ़िग
settings	सेटिंग्स
profile	प्रोफ़ाइल
account	अकाउंट
web	वेब
email	ई मेल
mobile	मोबाइल
phone	फोन
phones	फोन्स
online	ऑनलाइन
domain	डोमेन
domains	डोमेन्स
data	डेटा
file	फ़ाइल
files	फाइल्स
audio	ऑडियो
software	सॉफ्टवेयर
homepage	होमपेज
content	कंटेन्ट
default	डिफ़ॉल्ट
world	वर्ल्ड
list	लिस्ट
license	लाइसेंस
